Código,Título,Gênero,Classificação,Plataforma,Quantidade de Temporadas,Duração Média do Episódio
144,Sunderland Ate Morrer,Documentario,12,Netflix,2,41,8 6 
145,Filhotes Selvagens,Documentario,10,Netflix,1,29,8 
146,Utopia,Suspense,18,Prime Video,1,50,8 
147,Abstract: The Art of Design,Documentario,12,Netflix,2,44,8 6 
148,Alf  o Eteimoso,Sitcom,0,HBO Max,4,30,26 26 26 24 
149,Arquivo X,Misterio,14,Star +,11,44,20 20 20 20 20 20 20 20 20 20 20 
150,Supernatural,Suspense,14,HBO/Prime Video,15,44,21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 
151,Sombras e ossos,Fantasia,16,Netflix,2,44,8 8 
152,The Big Bang Theory,Comedia,12,HBO Max,12,22,17 23 23 24 24 24 24 24 24 24 24 24 
153,How I met your father,Comedia,14,Hulu,1,30,10 
154,Seinfeld,Comedia,14,Hulu,9,22,22 24 24 22 22 24 24 22 24 
155,Friends Reunion,Comedia,12,HBO Max,1,45,1 
156,Two and a Half Men,Comedia,16,Hulu,12,22,24 24 24 24 22 22 16 16 22 22 22 16 
157,Modern Family,Comedia,14,Hulu,11,22,24 24 24 24 24 24 24 22 22 22 22 
158,New Girl,Comedia,14,Netflix,7,22,24 25 23 22 22 8 8 
159,The Mindy Project,Comedia,16,Hulu,6,16,24 22 21 26 13 10 
160,The Nanny,Comedia,12,HBO Max,6,22,22 26 26 26 26 22 
161,The King of Queens,Comedia,12,Hulu,9,22,25 25 25 25 24 24 20 22 31 
162,Parks and Recreation,Comedia,14,Peacock,7,22,6 24 16 22 22 22 13 
163,Scrubs,Comedia,14,Hulu,9,22,24 22 25 24 22 13 6 12 13 
164,Community,Comedia,14,Netflix,6,22,25 24 22 13 13 13 
165,It's always sunny in Philadelphia,Comedia,18,Hulu,14,22,7 10 13 12 12 13 12 10 10 10 10 10 10 10 
166,Drake & Josh,Comedia,7,Paramount +,4,24,6 14 17 19 
167,Alienigenas do Passado,Documentario,0,Pluto TV,19,42,5 10 16 10 12 11 8 9 12 10 15 16 15 22 12 14 7 20 10 
168,Phineas e Ferb,Comedia,0,Disney +,4,15,26 38 35 31 
179,The Marvelous Mrs. Maisel,Comedia Dramatica,14,Prime video,4,60,8 10 8 8 
170,Fargo,Crime,18,Prime video,4,60,10 10 10 11 
171,Familia moderna,Sitcom,12,Star +,11,22,24 24 24 24 24 24 22 22 22 22 18 
172,The Haunting of Bly Manor,Drama,16,Netflix,1,65,9 
173,The Haunting of Hill House,Terror,16,Netflix,1,60,10 
174,Locke e Key,Terror,14,Netflix,3,45,10 10 8 
175,Westworld,Ficcao Cientifica,18,HBO Max,4,60,10 10 8 8 
176,Silicon Valley,Comedia,16,HBO Max,6,30,8 10 10 10 8 7 
177,Dr. House,Drama Misterio,14,Prime video,8,45,22 24 24 16 24 21 23 22 
178,Sex Education,Drama,16,Netflix,3,55,8 8 8 
179,Zack & Cody: Gemeos a Bordo,Sitcom,0,Disney +,3,25,21 28 22 
180,The Punisher,Acao,16,Disney +,2,55,13 13 
181,Daredevil,Ficcao Cientifica,16,Disney +,3,50,13 13 10 
182,House of Cards,Drama,18,Netflix,6,50,13 13 13 13 13 8 
183,The Good Doctor,Drama medico,12,Globo Play,6,45,18 18 20 20 18 22 
184,Sherlock,Crime,16,Prime video,4,90,3 3 3 3 
185,Apenas um Show,Comedia,12,HBO Max,8,23,12 28 39 37 37 30 36 27 
186,Lost,Drama,16,Star +,6,44,25 24 23 14 17 18 
187,Shameless,Comedia,16,HBO,11,44,12 12 12 12 12 12 12 12 12 12 12 
188,This is us,Drama,16,Star +,6,44,18 18 18 18 18 18 
189,Family guy,Sitcom,14,Star +,20,20,23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 
190,That '70s  show,Sitcom,0,Prime Video,8,20,25 25 25 25 25 25 25 25 
191,Homeland,Policial,16,Star +,8,46,12 12 12 12 12 12 12 12 
192,Better Call Saul,Drama,14,Netflix,5,44,10 10 10 10 10 
193,Os Simpsons,Sticom,0,Star +,34,20,24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 
194,Solar Opposites,Ficcao cientifica,16,Star,3,22,12 12 12 
195,Fear The Walking Ddead,Suspense,16,Prime Video,6,44,6 15 16 16 16 16 
196,American Horror Stories,Suspense,16,Star +,12,44,12 12 12 12 12 12 12 12 12 12 12 12 
197,Legion,Acao,14,Netflix,3,44,6 6 6 
198,Futurama,Sitcom,16,Star +,7,20,20 20 20 20 20 20 20 
199,Superman & Lois,Super Heroi,14,HBO,3,44,15 15 15 
200,Fleabag,Comedia,16,Prime video,2,26,6 6 
201,invincible,Acao,18,Prime video,1,45,8 
202,Big mouth,Comedia,16,Netflix,6,25,10 10 10 10 10 10 
203,The end of the f***ing world,Drama,16,Netflix,2,22,8 8 
204,Desencanto,Comedia,14,Netflix,4,30,10 10 10 10 
205,Avatar: a lenda de Aang,Acao,10,Netflix,3,25,20 20 20 
206,Euphoria,Drama,18,Prime Video,2,60,8 8 
207,The bear,Drama,16,Star +,1,30,8 
208,Drama total,Comedia,10,Netflix,2,22,27 27 
209,Gilmore Girls:tal mae  tal filha,Drama,12,Netflix,4,45,21 21 21 21 
210,Chernobyl,Drama,16,HBO Max,1,60,5 
211,Eu  a patroa e as criancas,Comedia,10,Star Plus,5,21,12 28 27 30 26 
212,What If...?,Sci-Fi,14,Disney Plus,1,35,9 
213,Bob Esponja,Comedia,0,Prime Video,13,22,20 20 20 20 20 26 26 26 26 11 26 26 26 
214,iCarly,Comedia,10,Paramount Plus,7,30,25 25 20 13 11 6 9 
215,Jovem Sheldon,Comedia,12,HBO Max,6,20,22 22 21 18 22 18 
216,Sweet Tooth,Drama,14,Netflix,2,45,8 8 
217,South Park,Comedia,16,Prime Video,26,20,13 18 17 17 14 17 15 14 14 14 14 14 14 14 14 14 10 10 10 10 10 10 10 2 6 6 
218,Black Knight,Acao,16,Netflix,1,44,6 
219,Coragem  cao covarde,Comedia,0,HBO Max,4,22,13 13 13 13 
220,Manifest,Drama,14,Netflix,4,42,16 13 13 10 
221,Outlander,Drama,16,Netflix,6,60,16 13 13 13 12 8 
222,Marianne,Terror,16,Netflix,1,45,8 
223,My name,Acao,16,Netflix,1,45,8 
224,Daybreak,Comedia,16,Netflix,1,45,10 
225,Taboo,Drama,16,Netflix,1,59,8 
226,Kingdom,Drama,16,Netflix,2,50,6 6 
227,All of Us Are Dead,Drama,18,Netflix,1,66,12 
228,Profecia do inferno,Policial,18,Netflix,1,53,6 
229,The expanse,Ficcao cientifica,16,Prime Video,6,50,10 13 13 10 10 6 
230,Mad Men,Drama,16,HBO Max,7,48,13 13 13 13 13 13 14 
